compute CDER for magicdata-ramc
currently, compute dev set in 0.2 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 3.316
CTS-CN-F2F-2019-11-15-1422 CDER = 3.617
CTS-CN-F2F-2019-11-15-1423 CDER = 0.317
CTS-CN-F2F-2019-11-15-1426 CDER = 0.636
CTS-CN-F2F-2019-11-15-1428 CDER = 0.183
CTS-CN-F2F-2019-11-15-1434 CDER = 0.678
CTS-CN-F2F-2019-11-15-1447 CDER = 0.298
CTS-CN-F2F-2019-11-15-1448 CDER = 0.259
CTS-CN-F2F-2019-11-15-1449 CDER = 0.465
CTS-CN-F2F-2019-11-15-1452 CDER = 0.220
CTS-CN-F2F-2019-11-15-1458 CDER = 0.841
CTS-CN-F2F-2019-11-15-1461 CDER = 0.158
CTS-CN-F2F-2019-11-15-1463 CDER = 3.649
CTS-CN-F2F-2019-11-15-1468 CDER = 0.172
CTS-CN-F2F-2019-11-15-1469 CDER = 0.194
CTS-CN-F2F-2019-11-15-1470 CDER = 0.593
CTS-CN-F2F-2019-11-15-1473 CDER = 0.514
CTS-CN-F2F-2019-11-15-1475 CDER = 0.431
CTS-CN-F2F-2019-11-15-1477 CDER = 0.260
Avg CDER : 0.884
currently, compute dev set in 0.3 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 2.887
CTS-CN-F2F-2019-11-15-1422 CDER = 3.447
CTS-CN-F2F-2019-11-15-1423 CDER = 0.275
CTS-CN-F2F-2019-11-15-1426 CDER = 0.530
CTS-CN-F2F-2019-11-15-1428 CDER = 0.122
CTS-CN-F2F-2019-11-15-1434 CDER = 0.459
CTS-CN-F2F-2019-11-15-1447 CDER = 0.225
CTS-CN-F2F-2019-11-15-1448 CDER = 0.246
CTS-CN-F2F-2019-11-15-1449 CDER = 0.318
CTS-CN-F2F-2019-11-15-1452 CDER = 0.153
CTS-CN-F2F-2019-11-15-1458 CDER = 0.629
CTS-CN-F2F-2019-11-15-1461 CDER = 0.000
CTS-CN-F2F-2019-11-15-1463 CDER = 2.784
CTS-CN-F2F-2019-11-15-1468 CDER = 0.135
CTS-CN-F2F-2019-11-15-1469 CDER = 0.120
CTS-CN-F2F-2019-11-15-1470 CDER = 0.586
CTS-CN-F2F-2019-11-15-1473 CDER = 0.442
CTS-CN-F2F-2019-11-15-1475 CDER = 0.342
CTS-CN-F2F-2019-11-15-1477 CDER = 0.162
Avg CDER : 0.730
currently, compute dev set in 0.35 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 2.684
CTS-CN-F2F-2019-11-15-1422 CDER = 3.277
CTS-CN-F2F-2019-11-15-1423 CDER = 0.231
CTS-CN-F2F-2019-11-15-1426 CDER = 0.475
CTS-CN-F2F-2019-11-15-1428 CDER = 0.087
CTS-CN-F2F-2019-11-15-1434 CDER = 0.375
CTS-CN-F2F-2019-11-15-1447 CDER = 0.192
CTS-CN-F2F-2019-11-15-1448 CDER = 0.217
CTS-CN-F2F-2019-11-15-1449 CDER = 0.297
CTS-CN-F2F-2019-11-15-1452 CDER = 0.117
CTS-CN-F2F-2019-11-15-1458 CDER = 0.538
CTS-CN-F2F-2019-11-15-1461 CDER = 0.000
CTS-CN-F2F-2019-11-15-1463 CDER = 2.730
CTS-CN-F2F-2019-11-15-1468 CDER = 0.115
CTS-CN-F2F-2019-11-15-1469 CDER = 0.097
CTS-CN-F2F-2019-11-15-1470 CDER = 0.546
