compute CDER for magicdata-ramc
currently, compute dev set in 0.2 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 3.316
CTS-CN-F2F-2019-11-15-1422 CDER = 3.596
CTS-CN-F2F-2019-11-15-1423 CDER = 0.312
CTS-CN-F2F-2019-11-15-1426 CDER = 0.636
CTS-CN-F2F-2019-11-15-1428 CDER = 0.174
CTS-CN-F2F-2019-11-15-1434 CDER = 0.678
CTS-CN-F2F-2019-11-15-1447 CDER = 0.325
CTS-CN-F2F-2019-11-15-1448 CDER = 0.270
CTS-CN-F2F-2019-11-15-1449 CDER = 0.465
CTS-CN-F2F-2019-11-15-1452 CDER = 0.223
CTS-CN-F2F-2019-11-15-1458 CDER = 0.845
CTS-CN-F2F-2019-11-15-1461 CDER = 0.158
CTS-CN-F2F-2019-11-15-1463 CDER = 3.649
CTS-CN-F2F-2019-11-15-1468 CDER = 0.168
CTS-CN-F2F-2019-11-15-1469 CDER = 0.189
CTS-CN-F2F-2019-11-15-1470 CDER = 0.593
CTS-CN-F2F-2019-11-15-1473 CDER = 0.514
CTS-CN-F2F-2019-11-15-1475 CDER = 0.431
CTS-CN-F2F-2019-11-15-1477 CDER = 0.260
Avg CDER : 0.884
currently, compute dev set in 0.3 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 2.872
CTS-CN-F2F-2019-11-15-1422 CDER = 3.489
CTS-CN-F2F-2019-11-15-1423 CDER = 0.278
CTS-CN-F2F-2019-11-15-1426 CDER = 0.539
CTS-CN-F2F-2019-11-15-1428 CDER = 0.113
CTS-CN-F2F-2019-11-15-1434 CDER = 0.470
CTS-CN-F2F-2019-11-15-1447 CDER = 0.225
CTS-CN-F2F-2019-11-15-1448 CDER = 0.246
CTS-CN-F2F-2019-11-15-1449 CDER = 0.315
CTS-CN-F2F-2019-11-15-1452 CDER = 0.164
CTS-CN-F2F-2019-11-15-1458 CDER = 0.629
CTS-CN-F2F-2019-11-15-1461 CDER = 0.000
CTS-CN-F2F-2019-11-15-1463 CDER = 2.919
CTS-CN-F2F-2019-11-15-1468 CDER = 0.127
CTS-CN-F2F-2019-11-15-1469 CDER = 0.124
CTS-CN-F2F-2019-11-15-1470 CDER = 0.589
CTS-CN-F2F-2019-11-15-1473 CDER = 0.438
CTS-CN-F2F-2019-11-15-1475 CDER = 0.332
CTS-CN-F2F-2019-11-15-1477 CDER = 0.159
Avg CDER : 0.738
currently, compute dev set in 0.35 threshold mode
CTS-CN-F2F-2019-11-15-1421 CDER = 2.647
CTS-CN-F2F-2019-11-15-1422 CDER = 3.255
CTS-CN-F2F-2019-11-15-1423 CDER = 0.229
CTS-CN-F2F-2019-11-15-1426 CDER = 0.493
CTS-CN-F2F-2019-11-15-1428 CDER = 0.087
CTS-CN-F2F-2019-11-15-1434 CDER = 0.371
CTS-CN-F2F-2019-11-15-1447 CDER = 0.192
CTS-CN-F2F-2019-11-15-1448 CDER = 0.219
CTS-CN-F2F-2019-11-15-1449 CDER = 0.304
CTS-CN-F2F-2019-11-15-1452 CDER = 0.117
CTS-CN-F2F-2019-11-15-1458 CDER = 0.527
CTS-CN-F2F-2019-11-15-1461 CDER = 0.000
CTS-CN-F2F-2019-11-15-1463 CDER = 2.730
CTS-CN-F2F-2019-11-15-1468 CDER = 0.119
CTS-CN-F2F-2019-11-15-1469 CDER = 0.097
CTS-CN-F2F-2019-11-15-1470 CDER = 0.546
